language	category	n_questions
azerbaijani	Biology	105
azerbaijani	Chemistry	105
azerbaijani	Geography	105
azerbaijani	History	105
azerbaijani	Language	105
azerbaijani	Mathematics	105
azerbaijani	Physics	105
crimean-tatar	biology	43
crimean-tatar	chemistry	37
crimean-tatar	geography	28
crimean-tatar	history	74
crimean-tatar	language and literature	105
crimean-tatar	maths	59
crimean-tatar	physics	34
crimean-tatar-cyrillic	biology	43
crimean-tatar-cyrillic	chemistry	37
crimean-tatar-cyrillic	geography	28
crimean-tatar-cyrillic	history	74
crimean-tatar-cyrillic	language and literature	105
crimean-tatar-cyrillic	maths	59
crimean-tatar-cyrillic	physics	34
en	Biology	347
en	Chemistry	230
en	Geography	225
en	Mathematics	304
en	Physics	173
en	Psychology	610
en	World History	268
karakalpak	Biology	55
karakalpak	Chemistry	33
karakalpak	Geography	33
karakalpak	Language	69
karakalpak	Physics	50
kazakh	biology	105
kazakh	chemistry	105
kazakh	geography	105
kazakh	history-of-Kazakhstan	105
kazakh	kazakh	105
kazakh	logic	104
kazakh	maths	105
kazakh	phsyics	100
kazakh	physics	5
kazakh	world-history	105
kazakh-latin	biology	105
kazakh-latin	chemistry	105
kazakh-latin	geography	105
kazakh-latin	history-of-Kazakhstan	105
kazakh-latin	kazakh	105
kazakh-latin	logic	104
kazakh-latin	maths	105
kazakh-latin	phsyics	100
kazakh-latin	physics	5
kazakh-latin	world-history	105
ru	Biology	347
ru	Chemistry	230
ru	Geography	225
ru	Mathematics	304
ru	Physics	173
ru	Psychology	610
ru	World History	268
tatar	Biology	105
tatar	Chemistry	105
tatar	Computer science	4
tatar	Geography	105
tatar	History of Russia	105
tatar	Human & Society	105
tatar	Language & Literature	105
tatar	Maths	100
tatar	Physics	105
turkish	Biology	105
turkish	Chemistry	105
turkish	Geography	105
turkish	History	105
turkish	Mathematics	105
turkish	Philosophy	105
turkish	Physics	105
turkish	Religion_and_Ethics	105
turkish	Turkish_Language_and_Literature	105
uyghur	biology	105
uyghur	chemistry	102
uyghur	math	104
uyghur	physics	103
uyghur	uyghur_literature&grammar	105
uyghur-latin	biology	105
uyghur-latin	chemistry	102
uyghur-latin	math	104
uyghur-latin	physics	103
uyghur-latin	uyghur_literature&grammar	105
uzbek	Biology	105
uzbek	Chemistry	105
uzbek	Geography	105
uzbek	History	105
uzbek	Language	105
uzbek	Mathematics	105
uzbek	Physics	105
uzbek-cyrillic	Biology	105
uzbek-cyrillic	Chemistry	105
uzbek-cyrillic	Geography	105
uzbek-cyrillic	History	105
uzbek-cyrillic	Language	105
uzbek-cyrillic	Mathematics	105
uzbek-cyrillic	Physics	105
