crh_Cyrl,eng
 ТОМ СОЙЕРНИНЪ СЕРГУЗЕШТЛЕРИ, THE ADVENTURES OF TOM SAWYER
 Биринджи баб, CHAPTER I
– Том!,- TOM!
Джевап ёкътыр.,No answer.
Кене джевап ёкътыр.,No answer.
– Къайда гъайып олып кетти бу огъланчыкъ?,"""What's gone with that boy, I wonder?"
- Том!,- Tom!
Кимсе джевап бермеди.,No answer.
"Къартий козьлюклерини бурунынъ уджуна кетирди ве козьлюклери устюнден оданы козьден кечирди, сонъра козьлюклерини манълайына кетирди ве оларнынъ астындан оданы бир даа сюзди.",The old lady pulled her spectacles down and looked over them about the room; then she put them up and looked out under them.
"Къартий козьлюклерини сийрек-сепелек кереги киби такъа, хусусан мына бойле, огъланчыкъ киби уфакъ-тюфек бир шейчикни къыдыргъанда такъа.",She seldom or never looked THROUGH them for so small a thing as a boy.
"Чюнки бу онынъ кишилик такъкъан, онынънен джан-юректен гъурурлангъан козьлюклеридир: оны ялынъыз «савлет ичюн» такъа тургъан.","they were her state pair, the pride of her heart, and were built for ""style,"" not service—she could have seen through a pair of stove-lids just as well."
"Асылында къартийге козьлюкнинъ кереги де ёкъ, онъа бир де-бир шейге бакъмакъ керек олса козьлюк де бир, собанынъ къыршавы да.","She looked perplexed for a moment, and then said, not fiercely, but still loud enough for the furniture to hear:"
"Ильк дакъкъаларда, о шашмалагъан киби олды ве эшьялар эшите биледжек къадар сесини чыкъарып, сертче сёйленмеге башлады:","She paused for a moment, thinking, and then she said, not very loudly, but so that the furniture in the room could hear her:"
"– Токъта, сен элиме бир тюш, бакъайым, мен санъа…","Well, I lay if I get hold of you I'll—"""
"Къартий фикирини айтып битирмеден, ерге эгильди ве элиндеки фырчысыны кровать астыны сокъуп чыкъармагъа башлады, ве эр кереси, нефеси етишмегенинден себеп, бираз токъталмагъа меджбур ола эди.","She did not finish, for by this time she was bending down and punching under the bed with the broom, and so she needed breath to punctuate the punches with."
"Кровать астындан, мышыкътан гъайры ич бир шей чыкъмады.",She resurrected nothing but the cat.
"Къартий ачыкъ къапынынъ янына кельди ве Босагъада турып, дикъкъатнен бостанына – ябаний отлар ичинде комюлип кеткен помидорларына козетти.","She went to the open door and stood in it and looked out among the tomato vines and ""jimpson"" weeds that constituted the garden."
Том анда да ёкъ эди., Tom wasn't here either.
"Шунда Къартий сесини котерди, узакъчаракъкъа эшитильсин дие:",  Old woman raising her voice so that she could be heard very far away:
– То-о-ом! – деп къычырды., - Tom! - she shouted.
Артта енгильден бир шей шытырдады., Something rumbled from behind.
