crh_Latn,eng
Ukrainanıñ qışlaması içün Slovakiya gumanitar yardım ayıra,Slovakia will provide humanitarian aid to Ukraine for winter
"“Er bir balanıñ özüni mahsus duymasını isyetim”, — Olha Prohorova, Mariupol","“I want every child to feel special,” said Olga Prokhorova from Mariupol"
LED lampalarınıñ deñişüvinen bağlı AB ve Ukraina Ükümetiniñ programmasınıñ yañı basamağı başlandı,The EU-Ukraine incandescent light bulb exchange program has started a new phase
Vitse baş nazir İrına Vereşçuk Vatanına qaytarılğan oğlanlarnen körüşti,Vice Prime Minister Iryna Vereshchuk met with young men who have returned to their homeland
2023 senesi ReNazirliginiñ sıcaq hatlarına 700 biñ hitap yollandı,"The Ministry of Reintegration received over 700,000 appeals in 2023"
Cebege yaqın ve işğalden azat etilgen topraqlarda bank servislerine irişimni yahşılaştırmalımız,We will improve access to banking services in frontline and de-occupied areas
DAKniñ vaqtınca yaşamaları içün mesken berüvi mehanizmi mükemmelleştirildi,
Harkiv vilâyetiniñ cemaatını yaqar odunınen temin etmege devam eteler,Providing fuel wood to communities in the Kharkiv region
e-Veteran veb platformasında Veteranlar ve aileleri içün Tek bilgiler bazasını yarattılar,The e-Veteran web platform has created a unified knowledge base for veterans and their families
Ukrainada yaQuruv sertifikatını yañı evge ilk kere deñiştirildi,The eRecovery certificate was exchanged for new housing in Ukraine for the first time
Esirlikten da 230 ukrain vatandaşı qaytarıldı,230 more Ukrainians have been released from captivity
2023 senesi banklar iş insanlarına 97 milliard grivnağa irişilir kreditler berdi,
Qaytmaq imkânı er vaqıt bar!,There is always a chance to return!
2023 senesi Milliy malümat bürosına tahminen 260 biñ hitap yollandı,
BMTnıñ qaçaqlar meseleleri YKİ (BMTnıñ MQYKİ) Poltava vilâtetinde DAK içün evlerni tamir etmege yardım etecek,UN Refugee Agency (UNHCR) to help repair housing for IDPs in Poltava region
Veteran siyaseti oturuşında askerlerniñ içtimaiy ozğarmasınen bağlı deñev leyhasını muzakere ettiler,"During the meeting on veterans’ policy, a pilot project on social support for military personnel was discussed"
Ükümet DAKniñ müessiselerde yerleşmeleri içün 579 million grivna tazminat ödedi,The government has already paid 579 million UAH in compensation for accommodating IDPs in institutions
Çerkası vilâyetinde veteran platformasını inkişaf ettireler,A platform for veterans is being developed in the Cherkasy region
Ükümet yeEv imtiyazlı ipoteka kreditleştirüv programmasına deñişmelerni kirsetti,The government has made changes to the preferential mortgage lending program eOselya
Cenkten zarar körgen insanlarğa yahşıca uquqiy yardım etmek içün devlet teşkilâtları grant alacaq,Governmental organizations will receive grants to strengthen legal aid for victims of war
BMTnıñ QMYKİ Zakarpattâda DAK içün evlerni abadanlaştırmağa çalışa,UNHCR is working to provide housing for IDPs in Zakarpattia
“Öz işi” programması: yañı iş yerlerini yaratmaq içün devlet daa yarım milliard ayıra,The state has invested an additional half a billion dollars into the ‘Grant for Your Own Business’ program to create new jobs
“Rada” telekanalı içün vitse baş nazir İrına Vereşçuknıñ netice intervyusı,
Veteranlar ve saqatlı insanlar medeniy-sanat faaliyetini yañıdan yaratmaq içün stipendiya ala bilirler,Veterans and individuals with disabilities can receive scholarships to participate in cultural and artistic activities
2024 senesi devlet içinde alınğan zayıf vatandaşlar içün ödemelerge para ayırılmalı,"In 2024, payments to vulnerable categories of IDPs should be maintained"
"Cebege yaqın bölgelerde mobil alâqa, tele ve radio yayınına Ükümet 48 million grivna ayırdı",The government has allocated over 48 million UAH for mobile communications and broadcasting in frontline regions
"“İşimniñ boşuna olmağanına inanam”, — Olena Barkova, Mariupol",Olena Barkova from Mariupol “I believe that my work is not in vain”
Herson demiryol vokzalındaki ateşler sebebinden yolcular içün telükesizlik tedbirlerini quvetleştireler,Security measures for passengers are being strengthened due to shelling at Kherson railway station
2023 senesi DAK ödemelerine 73 milliard grivna üleştirecekler,
Mahsus oturışta ukrainalılarnıñ rusiye ve belarus vastasınen VİETdan ketmeleri içün halqara seyaat vesiqasınıñ qullanılması baqıldı,The meeting discussed using an international travel document for Ukrainians leaving the TOT through russia and belarus
