crh_Latn,ukr
"Rusiyeliler, siyasiy mabusı Oleg Prihodkoğa qarşı daa bir cinaiy davanı sahtelep ukrain arbiylerine qarşı şaatlıq ettireler",Росіяни фабрикують ще одну кримінальну справу проти політв'язня Олега Приходька та примушують свідчити проти українських військових
"O, 2014 senesi başlanılğan öz küreşine uzun vaqıt devamında ketken edi - elâk olğan arbiyi Gennadiy Dolgolikovnıñ ömür arqadaşı","Він надто довго йшов до своєї боротьби, яка розпочалася у 2014 році – дружина загиблого воїна Геннадія Долголікова"
Deokupatdıyasından soñ Qırımnıñ statusı: akimiyetiniñ mevamı ve qırımlılarnıñ cevabı,Статус Криму після деокупації: позиція влади та реакція кримчан
"Rusiyeliler, Qırımnı tutıp olamaycaqlarını añlaylar, çünki o, logistik ceetinde pek sezek - arbiy ekspert","Росіяни прекрасно розуміють, що втримати Крим апріорі неможливо, адже він досить чутливий у логістичному плані – військовий експерт"
İşğal etilgen Qırımnıñ serbest etüvinden soñ ilk adımlar: “Krım Wave” gençler forumı vaqtında ekspertlerniñ fikirleri,Перші кроки після звільнення окупованого Криму: думки експертів під час молодіжного форуму «Крим Wave»
Uvut aynıñ 24 özümni körgen yekâne yolım - ellerimde silâ ile Ukrainanı mudafaa etmege olğanını añladım - Vasıl Samoylov,"24 лютого я усвідомив, що єдиний шлях, на якому я себе бачу - це боронити Україну зі зброєю в руках – Василь Самойлов"
Dünyağa Ukrainada musulman cemiyetiniñ bar oluvı ve şiddetligini köstermek kerek - Ayder Rustemov,Треба показувати світу присутність та потужність мусульманської спільноти в Україні – Айдер Рустемов
KRM faalleri 2023 senesi üç ay içinde zapt etilgen ukrain territoriyalarında rusiyelilerniñ cinayetleri aqqında tarif ettiler,Активісти КРЦ розповіли про злочини росіян на захоплених українських територіях за три місяці 2023 року
"“Episi bu, rusiye pasportını almağa red etüvi sebebinden”: RF, endi 4 ay içinde reine olaraq tutqan Aziz Ümerovnıñ qız qardaşı aqqında ikâyesi","«Все це через відмову отримувати російський паспорт»: історія Азіза Умерова про сестру, яку РФ вже 4 місяця тримає у заручниках"
Qırımda NATO aqqında sahte malümatı: QRM’de yarımadada rusiye propagandasınıñ tarqatıluv rağbetligi aqqında tarif ettiler,Фейки про НАТО в Криму: у КРЦ розповіли про тенденції поширення російської пропаганди на півострові
"“Lvivde üç furunhanemiz bar, kelecek soyu Yaltada”. “Qırım loqumlarnıñ” tarihı","«Маємо три пекарні у Львові, наступна в Ялті». Історія «Кримської перепічки»"
"Qırımnıñ tedaviylevi, onıñ deokupatsiyasından daa qıyın olabilir - Arsen Jumadilov",Реанімація Криму може бути складнішою за його деокупацію — Арсен Жумаділов
"Qırımnıñ işğal akimiyeti, mal tükânınıñ yanuvı sebebinden fevqulâde vaziyetini kirsetmez edi - arbiy eksperti Cankoydaki patlavları aqqında",Окупаційна влада Криму не оголошувала б надзвичайний стан через загорання продуктового магазину — військовий експерт про вибухи в Джанкої
