model,"model parameters, B",language,tokens_used_lape_tokenizer,lang_specific_neurons,lang_specific_neurons_pct,vocab_size,total_words_used,common_tokens_budget,fertility_tokens_per_word,unique_tokens,unique_token_fraction,num_unique_chars,num_non_ascii_chars,shared_en_token_count,shared_en_token_fraction,shared_ru_token_count,shared_ru_token_fraction,shared_turkish_token_count,shared_turkish_token_fraction,chars_per_token_mean,chars_per_token_std,n_questions_subset,MeanTokenNLL_mean,MeanTokenNLL_std,SequenceNLL_mean,SequenceNLL_std,MeanTokenEntropy_mean,MeanTokenEntropy_std,RAUQ_mean,RAUQ_std,Focus_mean,Focus_std,lexical_similarity_mean,lexical_similarity_std,degmat_mean,degmat_std,eigvallaplacian_mean,eigvallaplacian_std,eccentricity_mean,eccentricity_std,eccentricity_infs_cnt,subset_accuracy,total_questions,total_correct,total_n_unparseable,total_accuracy,n_unseen,unseen_accuracy
qwen2.5-3b-instruct,3,azerbaijani,31870,719,0.181,151665,9658,31993,3.299855042,1944,0.01281772327,115,29,458,0.2355967078,118,0.06069958848,1106,0.5689300412,2.06463759,1.158781012,145,0.254165,0.167932,11.49091,11.452663,0.605976,0.39166,1.766584,0.186037,6.52018,3.882979,-0.839763,0.181071,0.606313,0.171788,2.300433,0.411601,34.20671,34.444968,2,37.93,735,274,10,37.28,590,37.12
qwen2.5-3b-instruct,3,crimean-tatar-latin,31808,592,0.149,151665,10534,31993,3.019555724,2470,0.01628589325,107,18,568,0.2299595142,132,0.05344129555,1341,0.5429149798,2.401062626,1.437220685,145,0.317371,0.160722,14.676685,11.094878,0.812522,0.395832,1.826397,0.168741,8.916376,4.688358,-0.87759,0.145055,0.66228,0.123382,2.218182,0.342724,44.246301,38.105765,8,35.17,380,142,2,37.37,235,38.72
qwen2.5-3b-instruct,3,crimean-tatar-cyrillic,31878,768,0.194,151665,7824,31993,4.074386503,1143,0.007536346553,139,67,124,0.1084864392,838,0.7331583552,132,0.1154855643,2.986166008,1.637918657,145,0.457019,0.203204,28.533279,13.928297,1.047063,0.418402,1.965261,0.184625,14.255067,6.279278,-0.948204,0.122734,0.787089,0.112812,1.547648,0.510993,70.987772,30.256922,12,39.31,380,147,11,38.68,235,38.3
qwen2.5-3b-instruct,3,english,31958,395,0.1,151665,21974,31993,1.454355147,5389,0.0355322586,106,16,5389,1,208,0.03859714233,530,0.09834848766,4.1772952,2.926044686,145,0.167321,0.12548,7.393948,6.944499,0.293673,0.213469,1.679981,0.133201,4.738693,2.443062,-0.530598,0.249903,0.403414,0.191217,2.71192,0.200123,11.492339,20.874991,0,67.59,2157,1494,2,69.26,2012,69.38
qwen2.5-3b-instruct,3,karakalpak,31993,651,0.164,151665,9511,31993,3.363789297,2175,0.01434081693,122,39,532,0.2445977011,115,0.05287356322,987,0.4537931034,2.193667365,1.15323833,145,0.619108,0.139848,39.538934,9.096316,1.549595,0.328629,2.134405,0.14625,17.602687,4.672887,-0.988933,0.027312,0.843804,0.029178,1.170352,0.30998,82.46119,16.160657,18,28.28,240,64,3,26.67,95,24.21
qwen2.5-3b-instruct,3,kazakh-cyrillic,31929,866,0.219,151665,7346,31993,4.346447046,965,0.006362707282,168,88,139,0.1440414508,676,0.7005181347,147,0.1523316062,2.503648721,1.475917775,145,0.394079,0.162917,24.978097,10.822267,0.862763,0.315484,1.925758,0.153541,12.529032,4.461513,-0.95851,0.089044,0.800188,0.087953,1.486865,0.493834,76.847901,24.46586,15,33.79,944,324,26,34.32,799,34.42
qwen2.5-3b-instruct,3,kazakh-latin,31883,500,0.126,151665,9267,31993,3.440487752,2024,0.0133452016,122,32,501,0.2475296443,123,0.06077075099,914,0.4515810277,2.040993633,1.044872132,145,0.602862,0.169267,38.507485,10.959056,1.495361,0.407473,2.135028,0.179266,16.308195,5.262676,-0.988677,0.023988,0.853338,0.028621,1.044137,0.327759,84.350688,15.206275,18,30.34,944,314,9,33.26,799,33.79
qwen2.5-3b-instruct,3,russian,31951,438,0.111,151665,12012,31993,2.65992341,2551,0.01681996505,147,70,208,0.08153665229,2551,1,135,0.05292042336,4.865137241,3.582804858,145,0.208636,0.097074,11.59419,6.685028,0.455286,0.204862,1.72818,0.093625,7.084949,3.040012,-0.818174,0.172194,0.650829,0.136238,2.248009,0.330068,42.730498,36.202474,6,55.86,2157,1254,9,58.14,2012,58.3
qwen2.5-3b-instruct,3,tatar,31976,749,0.189,151665,7734,31993,4.134471166,1069,0.007048429104,162,79,142,0.1328344247,782,0.7315247895,149,0.1393826006,2.694114336,1.715031575,145,0.503526,0.182838,32.198071,11.771179,1.159947,0.368688,2.05442,0.18027,15.440051,6.123189,-0.980384,0.043387,0.843216,0.046654,1.149783,0.386971,82.930074,16.264609,19,37.93,839,300,41,35.76,694,35.3
qwen2.5-3b-instruct,3,turkish,31837,864,0.218,151665,11770,31993,2.704927782,2993,0.01973428279,116,27,530,0.177079853,135,0.04510524557,2993,1,2.972202155,2.296747065,145,0.271605,0.126583,10.716055,9.118118,0.68549,0.302856,1.769837,0.156986,6.846569,3.660666,-0.86572,0.149218,0.652362,0.134244,2.241189,0.350837,42.156445,38.460072,3,47.59,945,430,3,45.5,800,45.12
