model,language,vocab_size,total_tokens_used,total_words_used,common_tokens_budget,fertility_tokens_per_word,unique_tokens,unique_token_fraction,num_unique_chars,num_non_ascii_chars,non_ascii_chars,shared_en_token_count,shared_en_token_fraction,shared_ru_token_count,shared_ru_token_fraction,shared_turkish_token_count,shared_turkish_token_fraction
ai-forever/mGPT,azerbaijani,100000,14104,3918,14104,3.5997958141909137,1562,0.01562,108,27, ÇÖÜçöüğİıŞşƏəσаох–‘“”•→∏√≠,381,0.2439180537772087,136,0.08706786171574904,688,0.44046094750320103
ai-forever/mGPT,crimean-tatar,100000,14104,4666,14104,3.022717531075868,2047,0.02047,105,18,°ÇÖÜâçñöüĞğİıŞş̆—”,446,0.21787982413287738,132,0.06448461162677088,850,0.4152418172936004
ai-forever/mGPT,crimean-tatar-cyrillic,100000,14104,3718,14104,3.7934373318988706,1407,0.01407,138,67,«°»̆АБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЫЭЮЯабвгдежзийклмнопрстуфхцчшъыьэюяё—”,115,0.08173418621179815,740,0.5259417199715707,109,0.07746979388770434
ai-forever/mGPT,en,100000,14104,10328,14104,1.3656080557707204,3360,0.0336,100,12,°×éøερσϕ–—’…,3360,1.0,214,0.06369047619047619,389,0.11577380952380953
ai-forever/mGPT,karakalpak,100000,13983,4158,14104,3.362914862914863,1769,0.01769,116,34,«°µ·»ÁÓÚáéóúğģıńǴǵΕΚΥΩήαειẞ‘’“”‰−√,414,0.23403052572074617,121,0.06840022611644997,733,0.4143583945732052
ai-forever/mGPT,kazakh,100000,14104,3068,14104,4.597131681877444,1085,0.01085,158,82, «°»˚ІАБВГДЕЖЗИКЛМНОПРСТФХЦШЫЭЯабвгдежзийклмнопрстуфхцчшыьэюяіґҒғҚқңҮүҰұӘәӨө–“”…→∞,155,0.14285714285714285,559,0.5152073732718894,140,0.12903225806451613
ai-forever/mGPT,kazakh-latin,100000,14104,4265,14104,3.3069167643610786,1764,0.01764,127,35, «°·»ÄÖÜäñöüĞğİıŞşŪū˚Δαβγρґ–“”…→⇒−∞,419,0.23752834467120182,149,0.0844671201814059,585,0.33163265306122447
ai-forever/mGPT,ru,100000,14104,7135,14104,1.9767344078486335,3362,0.03362,139,68,°×σϕАБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЫЬЭЮЯабвгдежзийклмнопрстуфхцчшщъыьэюя—…,214,0.06365258774538965,3362,1.0,110,0.03271861986912552
ai-forever/mGPT,tatar,100000,14104,3046,14104,4.630334865397242,1092,0.01092,153,74,«°»АБВГДЕИЙКЛМНОПРСТУФХЦЧШЭЯабвгдежзийклмнопрстуфхцчшъыьэюяёҖҗңҮүҺһӘәӨө–—∙,121,0.1108058608058608,620,0.5677655677655677,108,0.0989010989010989
ai-forever/mGPT,turkish,100000,14104,4224,14104,3.3390151515151514,1851,0.01851,103,18,°ı̧̂̆̇̈Ωλπω–’“”₺−∣,389,0.2101566720691518,110,0.05942733657482442,1851,1.0
ai-forever/mGPT,uyghur,100000,14104,2286,14104,6.169728783902012,478,0.00478,133,60,«°²»×Ωαβμπ،؟ئابتجخدرزسشغفقكلمنوىيپچڭگھۆۇۈۋېە‍…⁺⁻₂ⅡⅦ⇌∕∠∪≤①②③④,115,0.2405857740585774,87,0.18200836820083682,110,0.2301255230125523
ai-forever/mGPT,uyghur-latin,100000,14104,4680,14104,3.0136752136752136,1363,0.01363,105,45,«°²·¹»×éöüαβδθμπρω‍…⁡⁺⁻₁₂₃ₙ℃ⅱⅳⅶ→⇌∕√∠∩∪≤⋅①②③④⟺,337,0.24724871606749815,104,0.07630227439471754,522,0.3829787234042553
ai-forever/mGPT,uzbek,100000,14104,4298,14104,3.2815262912982783,1830,0.0183,106,21,°µ·ʻαεπϕаео–‘’“”…→−∙≈,443,0.24207650273224043,141,0.07704918032786885,660,0.36065573770491804
ai-forever/mGPT,uzbek-cyrillic,100000,14104,3447,14104,4.09167391935016,1227,0.01227,153,83,°µ·αεπϕЁЎАБВГДЕЖЗИЙКЛМНОПРСТУФХЧШЭЮЯабвгдежзийклмнопрстуфхцчшъьэюяёўҒғҚқҲҳ–‘“”…→−∙≈,136,0.11083944580277098,639,0.5207823960880196,129,0.10513447432762836
